,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap,prechgPct,chgPct
28,600066.XSHG,600066,郑州客车,XSHG,1997/6/17,24.62,24.62,24.7,24.75,23.81,24.3,520968,12670097,,0.0149,0.022458922,850500000,1773900000,-0.013,,,5.2329,1,,-0.0053,
29,600066.XSHG,600066,郑州客车,XSHG,1997/6/18,24.3,24.3,24.82,24.82,23.98,24.05,419696,10139932,,0.012,0.022458922,841750000,1755650000,-0.0103,,,5.1791,1,,-0.013,
30,600066.XSHG,600066,郑州客车,XSHG,1997/6/19,24.05,24.05,24.15,24.22,23.3,23.4,674300,16029508,,0.0193,0.022458922,819000000,1708200000,-0.027,,,5.0391,1,,-0.0103,
31,600066.XSHG,600066,郑州客车,XSHG,1997/6/20,23.4,23.4,24,24.88,23.6,24.8,796436,19287292,,0.0228,0.022458922,868000000,1810400000,0.0598,,,5.3406,1,,-0.027,
32,600066.XSHG,600066,郑州客车,XSHG,1997/6/23,24.8,24.8,25.21,25.29,23.8,24.18,920855,22608898,,0.0263,0.022458922,846300000,1765140000,-0.025,,,5.2071,1,,0.0598,
33,600066.XSHG,600066,郑州客车,XSHG,1997/6/24,24.18,24.18,24.23,24.9,24.22,24.9,382458,9357259,,0.0109,0.022458922,871500000,1817700000,0.0298,,,5.3622,1,,-0.025,
34,600066.XSHG,600066,郑州客车,XSHG,1997/6/25,24.9,24.9,24.8,25.28,24.45,25,768086,19110272,,0.0219,0.022458922,875000000,1825000000,0.004,,,5.3837,1,,0.0298,
35,600066.XSHG,600066,郑州客车,XSHG,1997/6/26,25,25,24.98,25.1,24.52,24.7,433516,10748230,,0.0124,0.022458922,864500000,1803100000,-0.012,,,5.3191,1,,0.004,
36,600066.XSHG,600066,郑州客车,XSHG,1997/6/27,24.7,24.7,24.99,24.99,23.83,24,752678,18454604,,0.0215,0.022458922,840000000,1752000000,-0.0283,,,5.1683,1,,-0.012,
37,600066.XSHG,600066,郑州客车,XSHG,1997/7/2,24,24,24,24.48,21.65,22.99,524708,12129642,,0.015,0.022458922,804650000,1678270000,-0.0421,,,4.9508,1,,-0.0283,
38,600066.XSHG,600066,郑州客车,XSHG,1997/7/3,22.99,22.99,22.9,22.9,22.1,22.48,404145,9063421,,0.0115,0.022458922,786800000,1641040000,-0.0222,,,4.841,1,,-0.0421,
39,600066.XSHG,600066,郑州客车,XSHG,1997/7/4,22.48,22.48,22.31,22.75,22,22.2,459241,10258559,,0.0131,0.022458922,777000000,1620600000,-0.0125,,,4.7807,1,,-0.0222,
40,600066.XSHG,600066,郑州客车,XSHG,1997/7/7,22.2,22.2,22.48,22.55,20.02,20.46,471266,10032463,,0.0135,0.022458922,716100000,1493580000,-0.0784,,,4.406,1,,-0.0125,
41,600066.XSHG,600066,郑州客车,XSHG,1997/7/8,20.46,20.46,20.45,22,20.1,21.98,401207,8305876,,0.0115,0.022458922,769300000,1604540000,0.0743,,,4.7333,1,,-0.0784,
42,600066.XSHG,600066,郑州客车,XSHG,1997/7/9,21.98,21.98,21.78,22.1,21.26,21.99,317440,6920441,,0.0091,0.022458922,769650000,1605270000,0.0005,,,4.7355,1,,0.0743,
43,600066.XSHG,600066,郑州客车,XSHG,1997/7/10,21.99,21.99,21.95,22.2,21.31,22.19,297027,6528253,,0.0085,0.022458922,776650000,1619870000,0.0091,,,4.7786,1,,0.0005,
44,600066.XSHG,600066,郑州客车,XSHG,1997/7/11,22.19,22.19,22,23,21.8,23,580060,13038456,,0.0166,0.022458922,805000000,1679000000,0.0365,,,4.953,1,,0.0091,
45,600066.XSHG,600066,郑州客车,XSHG,1997/7/14,23,23,22.99,23.5,22.7,22.75,657343,15111997,,0.0188,0.022458922,796250000,1660750000,-0.0109,,,4.8992,1,,0.0365,
46,600066.XSHG,600066,郑州客车,XSHG,1997/7/15,22.75,22.75,22.88,24.3,22.8,23.95,1837199,43763720,,0.0525,0.022458922,838250000,1748350000,0.0527,,,5.1576,1,,-0.0109,
47,600066.XSHG,600066,郑州客车,XSHG,1997/7/16,23.95,23.95,24.1,24.5,23.7,24,1005487,24191782,,0.0287,0.022458922,840000000,1752000000,0.0021,,,5.1683,1,,0.0527,
48,600066.XSHG,600066,郑州客车,XSHG,1997/7/17,24,24,24,24.4,23.8,24,1041814,25100564,,0.0298,0.022458922,840000000,1752000000,0,,,5.1683,1,,0.0021,
49,600066.XSHG,600066,郑州客车,XSHG,1997/7/18,24,24,24.11,25.2,23.98,25.19,1661233,41072820,,0.0475,0.022458922,881650000,1838870000,0.0496,,,5.4246,1,,0,
